工具ID,工具名稱,核心功能,適用對象/痛點,對應篇章,操作步驟,智多星錦囊,工具連結,性質分類,影片名稱,影片連結
MIX-01-心靈淨化,Angel｜心靈淨化 PWA,清空認知、重置神經、校準注意力。,#腦袋停不下來 #情緒很滿 #睡前放下 #關係降噪 #心超載,心靈感悟第8章；教養幸福經；家庭9生活劇本,①清空卸載；②呼吸重置；③感恩校準,親愛的，腦袋太吵時，我們先不急著想通。給心一點空間，清空噪音，把穩定的自己找回來。,https://angel0973180707.github.io/Angel-inner-clean/,綜合/基礎定頻工具,,
EQ-01-心靈調味師,心靈調味師 PWA,分辨感受滋味，30秒斷電，讓情緒降溫，換一種說法。,#緒快爆開 #想回話怕後悔 #親子卡住的瞬間 #杏仁核劫持 #辨別感受釋放壓力,校園11（心球星球）；校園13（順勢療法）；創作1（思維超能力）,①選味道；②30秒斷電；③換說法；④甜美存檔,親愛的，在開口前，請先給自己30秒。打開調味師，選個味道，讓心先站穩。,https://angel0973180707.github.io/angel-inner-seasoning/,個人情緒冷卻/緊急斷電,,
EQ-02-五感覺察,Angel｜五感覺察 PWA,透過分齡感官練習，清空紛亂思緒，讓心回到感官專注。,#焦慮煩惱 #偏見起伏 #心亂如麻 #親子共練 #感官定錨,校園11（情緒星球）；心靈感悟第8章；教養幸福經,①選停留時間；②選語音狀態；③選練習對象（大人/青少/孩童/幼兒）,親愛的，當心亂、焦慮時，我們先不談道理，先讓身體回來。試試五感覺察，聽聽笑長的聲音，陪您在呼吸中把心站穩。,https://angel0973180707.github.io/Angel-Breath/,個人情緒冷卻/感官覺察,,
COM-01-反應選擇,改變｜換一個反應 PWA,在情緒衝動當下爭取空間，將「反應」轉化為「選擇」。,#反應太快 #後悔回話 #慣性吼叫 #停不下來 #需要空間,校園12（心理台階）；校園13（順勢療法）；創作3（就是要你管）,①暫停（呼吸/填寫感受）；②看見（描述現狀/念頭）；③換反應（選一句說得出口的話）,親愛的，有些時候不是我們不知道怎麼做，而是反應太快了。我們先不急著變好，試著用這個工具，陪您慢一點點，把方向盤交回自己手上。,https://angel0973180707.github.io/angel-change-pwa/,溝通轉譯/反應選擇,,
ACT-01-財商練功,零用錢練功房 PWA（含家庭修練契約）,透過30秒冷靜期訓練前額葉，建立「儲蓄>消費」的多巴胺回路。,#衝動購物 #沒錢就伸手 #分不清想要與需要 #缺乏耐性 #親子金錢衝突,腦科學原稿第9章；不打不罵怎麼教3.3校園篇；心靈感悟第8章,①設定預算與利息；②簽署家庭契約；③消費時啟動30秒冷靜期；④結算領利息與能量扭蛋,親愛的，孩子想要東西等不及嗎？這不是壞習慣，是前額葉還在練功。送您這份「零用錢練功房」，陪孩子玩一場理財遊戲，讓他在等待中長出受用一生的理智腦。,https://angel0973180707.github.io/happy-pocket-v1.6.2/,行為改變/理財商數（ACT）,,
ACT-02-自主啟動,自主能力啟動訓練ppt（Canva 範例版）,透過視覺化計畫與節律練習，減少催促，啟動孩子內在的行動力。,#起床拖延 #寫功課要人催 #生活沒規律 #慢郎中孩子 #親子口角,校園15（化被動為主動）,見簡報示範,孩子不是不動，他只是還在校準自己的軌道。這份「自主能力啟動訓練」送給您，讓我們用視覺替代碎念，陪孩子長出自己的節律，成為那顆穩健運行的衛星。,https://www.canva.com/design/DAG6sVjMh-Q/h59LD3VCcXVMPV9mTqOnbQ/edit?utm_content=DAG6sVjMh-Q&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,行為改變/自主養成（ACT）,,
REL-02-校園危機處理,校園衝突角色定位指南（親師行政三方守則）,釐清衝突發生時各方的心理邊界與行動職責，防止事件擴大，將危機轉化為教育契機。,#校園衝突事件處理 #校園霸凌爭議 #親師溝通斷裂 #媒體爆料壓力 #行政介入失當 #事件真相模糊,,見工具引導,校園衝突事件發生時，家長、老師、行政、媒體應該扮演什麼角色，守住什麼界限，讓危機變轉機，讓教育功能充分發揮。,https://bit.ly/44tr2a5,教養關係建立/校園溝通（REL）,高雄校園衝突事件,https://youtu.be/ifDONHtq6nQ?si=KcEfbrwdt57iVa-T
EQ-03-心懂OK蹦,心懂OK蹦｜解碼幸福關係,結合腦神經科學，透過紅、藍、黃三色能量球進行情緒急救與關係解碼。,#吵架火大 #心裡委屈 #溝通斷線 #想找回平靜 #關係解碼,,1點擊紅球滅火冷靜；2點擊藍球翻譯行為；3點擊黃球修復行動；4領取天使笑長的祝福,親愛的幸福夥伴，當衝突發生、大腦「發炎」時，我們先不談道理。讓天使笑長陪你用這顆「心懂OK蹦」，帶領大腦從情緒風暴回到理智連結，把愛的力量找回來。我們一起加油！,https://angel0973180707.github.io/angel-lucky/,,,
KIDS-01-快樂芒果,快樂芒果 PWA,建立親子連結、用小步驟引導孩子專注與學習興趣、親子共樂。,#學齡前 #國小低年級 #專注力短暫 #坐不住 #缺乏學習動機 #飛得慢的衛星,家庭3｜被打的芒果,情緒優先→看說玩用四步塑形→和平契約,孩子學習卡住時，先把關係抱回來、把大腦拉回線；再把學習拆成一小步一小步，幫助孩子回到專注裡。你的耐心陪伴，是孩子最大的福氣。（看｜說｜玩｜用 四步塑形）,https://angel0973180707.github.io/happy-mango/,親子連結/行為塑形/學習引導,被打的芒果,https://youtu.be/p1WXzRhoUjg?si=qqEmL_dIDSnvxp45
MIX-02-情緒急救,幽默｜情緒急救包 PWA,情緒上來時（前），幽默彼此一下，緩和氣氛，讓理智有時間回線。,#快要斷線了 #育兒高壓 #僵持不下 #想發火但不想傷人,腦神經科學第九章；不打不罵怎麼教3.3,①開彩蛋：領取心聲提醒；②找回嘴：選幽默句化解；③存正能：留話給未來的自己,親愛的，當火氣快衝上頭時，我們先停一秒換個頻道。幽默不是軟弱，是給愛留一條回家的路。,https://angel0973180707.github.io/angel-happy-m1/,綜合/情緒緩衝工具,我陶醉了,
